locality,postal_code,region,construction_year,energy_class,property_type,subtype_property,price,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Tienen,3300,Flanders,,None,APARTMENT,GROUND_FLOOR,307500,residential_sale,2,,None,0,0,1,,0,,85,,,0,None
Turnhout,2300,Flanders,,None,HOUSE,HOUSE,249000,residential_sale,2,,None,0,0,1,,0,,112,,,0,None
BRUXELLES,1000,Brussels,,None,APARTMENT,APARTMENT,490000,residential_sale,2,,None,0,1,0,,0,,120,,,0,None
Haacht,3150,Flanders,,None,APARTMENT,APARTMENT,265000,residential_sale,1,,None,0,0,1,30,0,,74,,,0,None
Forest,1060,Brussels,,None,APARTMENT,APARTMENT,375000,residential_sale,3,,None,0,0,1,9,0,,110,,,0,None
Leopoldsburg Heppen,3971,Flanders,1961,D,HOUSE,HOUSE,235000,residential_sale,4,30,0,0,0,1,707,0,,194,0,3,0,GOOD
Wetteren,9230,Flanders,,None,APARTMENT,APARTMENT,250000,residential_sale,2,,None,0,0,0,,0,,80,,,0,None
Lubbeek,3210,Flanders,,None,HOUSE,HOUSE,369000,residential_sale,2,,None,0,0,1,,1,480,168,,,0,None
Leuven Heverlee,3001,Flanders,,None,APARTMENT,PENTHOUSE,735000,residential_sale,3,,None,0,0,1,48,0,,175,,,0,None
Leuven Heverlee,3001,Flanders,,None,HOUSE,HOUSE,570000,residential_sale,2,,None,0,0,1,,0,,169,,,0,None
Wetteren,9230,Flanders,,None,HOUSE,HOUSE,155000,residential_sale,2,,None,0,0,0,,0,,112,,,0,None
Uccle,1180,Brussels,,None,APARTMENT,APARTMENT,600000,residential_sale,4,,None,0,0,1,15,0,,171,,,0,None
Heist-op-den-Berg Itegem,2222,Flanders,,None,APARTMENT,APARTMENT,324000,residential_sale,2,,None,0,0,1,12,0,,116,,,0,None
La Louviere,7100,Wallonie,1900,F,HOUSE,HOUSE,139999,residential_sale,3,49,0,0,0,0,,0,,212,130,2,0,GOOD
Machelen,1830,Flanders,,None,HOUSE,HOUSE,355000,residential_sale,3,,None,0,0,1,12,1,47,121,,,0,None
Heist-op-den-Berg,2220,Flanders,,None,APARTMENT,APARTMENT,318000,residential_sale,2,,None,0,0,1,12,0,,103,,,0,None
Tamines,5060,Wallonie,,None,APARTMENT,APARTMENT,79000,residential_sale,1,,None,0,0,0,,0,,48,,,0,None
Herentals Morkhoven,2200,Flanders,,None,HOUSE,HOUSE,249000,residential_sale,4,,None,0,0,1,,0,,227,,,0,None
Leernes,6142,Wallonie,1826,F,HOUSE,HOUSE,229999,residential_sale,3,32,0,0,0,1,25,1,505,148,620,4,0,GOOD
Charleroi,6000,Wallonie,,None,APARTMENT,APARTMENT,164999,residential_sale,3,,None,1,0,0,,0,,118,,,0,None
Deinze,9800,Flanders,,None,HOUSE,HOUSE,179000,residential_sale,3,,None,0,0,1,20,1,230,103,,,0,None
Schaerbeek,1030,Brussels,,None,HOUSE,APARTMENT_BLOCK,575000,residential_sale,5,,None,0,1,1,5,0,,250,,,0,None
Oudenaarde,9700,Flanders,,None,APARTMENT,APARTMENT,245000,residential_sale,3,,None,0,1,1,,0,,,,,0,None
Haaltert,9450,Flanders,1989,E,APARTMENT,APARTMENT,189000,residential_sale,2,28,0,0,0,1,5,0,,70,,,0,TO_BE_DONE_UP
Schoten,2900,Flanders,1966,E,HOUSE,TOWN_HOUSE,425000,residential_sale,3,18,1,0,0,1,20,1,168,130,231,2,0,JUST_RENOVATED
Anderlecht,1070,Brussels,,None,APARTMENT,FLAT_STUDIO,159000,residential_sale,0,,None,0,0,1,2,0,,42,,,0,None
Anderlecht,1070,Brussels,,None,APARTMENT,GROUND_FLOOR,525000,residential_sale,4,,None,0,0,1,40,1,350,155,,,0,None
Jette,1090,Brussels,,F,HOUSE,APARTMENT_BLOCK,715000,residential_sale,6,21,0,0,0,0,,0,,210,0,2,0,
Schoten,2900,Flanders,,None,APARTMENT,GROUND_FLOOR,225000,residential_sale,1,,None,0,0,1,30,1,30,80,,,0,None
Carnières,7141,Wallonie,,C,HOUSE,HOUSE,115000,residential_sale,2,20,0,0,0,1,50,1,350,70,380,2,0,GOOD
Spa,4900,Wallonie,,None,APARTMENT,GROUND_FLOOR,74999,residential_sale,1,,None,0,0,0,,0,,50,,,0,None
Walhain,1457,Wallonie,1973,C,HOUSE,HOUSE,680000,residential_sale,4,80,1,0,0,1,80,0,,270,1075,3,0,JUST_RENOVATED
