locality,postal_code,region,property_type,subtype_property,price,contruction_year,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Deinze,9800,Flanders,APARTMENT,APARTMENT,395000,2023,residential_sale,2,22,1,0,0,1,12,1,,99,,4,0,AS_NEW
Halle,1500,Flanders,HOUSE,HOUSE,385000,,residential_sale,3,,None,0,0,0,,0,,158,,,0,None
Antwerp,2060,Flanders,APARTMENT,APARTMENT,140000,,residential_sale,1,,None,0,0,1,8,0,,44,,,0,None
Antwerp,2018,Flanders,APARTMENT,APARTMENT,215000,,residential_sale,2,,None,0,0,0,,0,,75,,,0,None
Edegem,2650,Flanders,APARTMENT,APARTMENT,349900,,residential_sale,2,,None,0,0,1,,0,,103,,,0,None
Tremelo,3128,Flanders,HOUSE,HOUSE,380000,1993,residential_sale,4,40,0,0,0,1,,0,,220,863,4,0,TO_RENOVATE
Tielt-Winge,3390,Flanders,HOUSE,HOUSE,510000,2024,residential_sale,5,30,1,0,0,1,,0,,224,693,3,0,AS_NEW
Denderleeuw,9470,Flanders,HOUSE,HOUSE,339000,,residential_sale,3,,None,0,0,1,,0,,165,,,0,None
Knokke,8300,Flanders,APARTMENT,APARTMENT,765000,,residential_sale,2,,None,1,0,1,10,0,,96,,,0,None
Molenbeek-Saint-Jean,1080,Brussels,APARTMENT,APARTMENT,339000,,residential_sale,3,,None,0,1,0,,0,,140,,,0,None
Machelen,1830,Flanders,APARTMENT,APARTMENT,258000,,residential_sale,2,,None,0,0,0,,0,,77,,,0,None
Pelt,3910,Flanders,HOUSE,HOUSE,349900,,residential_sale,3,,None,0,0,1,,1,45,180,,,0,None
Fauvillers,6637,Wallonie,HOUSE,HOUSE,310000,,residential_sale,3,,None,0,0,1,,1,255,175,,,0,None
Watermael-Boitsfort,1170,Brussels,APARTMENT,APARTMENT,285000,,residential_sale,2,,None,0,0,1,4,0,,68,,,0,None
Antwerpen Deurne,2100,Flanders,HOUSE,HOUSE,299000,,residential_sale,5,23,0,0,0,0,,0,,250,64,2,0,GOOD
Jodoigne,1370,Wallonie,HOUSE,HOUSE,169000,,residential_sale,3,,None,0,1,1,,1,,110,,,0,None
Stabroek,2940,Flanders,APARTMENT,APARTMENT,279000,,residential_sale,2,,None,0,0,0,,0,,100,,,0,None
Antwerpen Wilrijk,2610,Flanders,APARTMENT,APARTMENT,399500,,residential_sale,3,,None,0,0,1,4,0,,110,,,0,None
Ixelles,1050,Brussels,APARTMENT,APARTMENT,1195000,,residential_sale,3,,None,0,0,1,9,0,,153,,,0,None
Gent Ledeberg,9050,Flanders,APARTMENT,APARTMENT,339000,,residential_sale,3,,None,0,0,1,3,0,,110,,,0,None
Knokke,8300,Flanders,APARTMENT,APARTMENT,795000,,residential_sale,2,,None,0,0,0,,1,,68,,,0,None
Knokke,8300,Flanders,APARTMENT,APARTMENT,2950000,,residential_sale,3,,None,0,0,1,,1,,200,,,0,None
Rumbeke,8800,Flanders,APARTMENT,APARTMENT,335000,,residential_sale,1,,None,0,0,1,25,0,,79,,,0,None
Knokke,8300,Flanders,APARTMENT,APARTMENT,2380000,,residential_sale,3,,None,0,0,0,,1,,156,,,0,None
Sint-Niklaas,9100,Flanders,HOUSE,HOUSE,379000,,residential_sale,4,,None,0,0,1,,0,,300,,,0,None
Zulte,9870,Flanders,HOUSE,HOUSE,399000,,residential_sale,3,,None,0,0,0,,0,,162,,,0,None
Vilvoorde,1800,Flanders,HOUSE,HOUSE,639000,1987,residential_sale,5,68,0,0,0,0,,1,1500,261,0,,0,AS_NEW
