locality,region,property_type,subtype_property,price,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Schoten,Flanders,HOUSE,HOUSE,435000,residential_sale,5,,None,No,Yes,Yes,,Yes,,175,,,No,None
Gent,Flanders,APARTMENT,APARTMENT,370000,residential_sale,3,,None,No,No,No,,No,,112,,,No,None
Woluwe-Saint-Lambert,Brussels,HOUSE,HOUSE,725000,residential_sale,3,45,No,No,No,Yes,8,No,,261,184,2,No,TO_RENOVATE
Gent,Flanders,HOUSE,HOUSE,400000,residential_sale,5,,None,No,No,No,,Yes,,140,,,No,None
Schaerbeek,Brussels,APARTMENT,APARTMENT,285000,residential_sale,1,,None,No,No,No,,No,,65,,,No,None
Bruxelles,Brussels,APARTMENT,APARTMENT,295000,residential_sale,1,,None,No,No,Yes,4,No,,83,,,No,None
Uccle,Brussels,APARTMENT,APARTMENT,260000,residential_sale,2,,None,No,No,Yes,16,No,,80,,,No,None
Bissegem,Flanders,HOUSE,HOUSE,279500,residential_sale,3,,None,No,No,No,,Yes,,,,,No,None
Boncelles,Wallonie,HOUSE,HOUSE,359900,residential_sale,4,25,Yes,No,No,Yes,85,Yes,300,200,622,3,Yes,GOOD
La Louviere,Wallonie,HOUSE,HOUSE,105000,residential_sale,2,,None,No,No,No,,No,,,,,No,None
Beersel,Flanders,HOUSE,HOUSE,385000,residential_sale,3,,None,No,No,Yes,,No,,290,,,No,None
Diest,Flanders,HOUSE,HOUSE,210000,residential_sale,3,,None,No,Yes,No,,Yes,,190,,,No,None
Boutersem,Flanders,HOUSE,HOUSE,1695000,residential_sale,3,48,Yes,No,No,Yes,,No,,396,2418,4,Yes,AS_NEW
Deinze,Flanders,HOUSE,HOUSE,349000,residential_sale,3,,None,No,Yes,No,,Yes,,119,,,No,None
Jette,Brussels,APARTMENT,APARTMENT,195000,residential_sale,1,,None,No,No,Yes,2,No,,75,,,No,None
Gooik,Flanders,HOUSE,HOUSE,399000,residential_sale,3,32,No,No,Yes,Yes,24,No,,180,1150,4,No,TO_BE_DONE_UP
Hulshout,Flanders,HOUSE,HOUSE,485000,residential_sale,4,,None,No,Yes,Yes,,Yes,,155,,,No,None
Keerbergen,Flanders,HOUSE,HOUSE,297000,residential_sale,0,,None,No,No,No,,No,,154,,,No,None
Oostende,Flanders,HOUSE,HOUSE,239900,residential_sale,3,,None,No,No,Yes,,No,,185,,,No,None
Seraing,Wallonie,HOUSE,HOUSE,125000,residential_sale,2,18,No,No,No,No,,No,,61,50,2,No,GOOD
Lier,Flanders,HOUSE,HOUSE,338000,residential_sale,3,,None,No,Yes,No,,Yes,,130,,,No,None
Bruxelles,Brussels,APARTMENT,APARTMENT,299000,residential_sale,2,,None,No,No,Yes,,No,,92,,,No,None
Antwerpen Berchem,Flanders,APARTMENT,APARTMENT,225000,residential_sale,2,,None,No,No,Yes,18,No,,80,,,No,None
Mechelen,Flanders,HOUSE,HOUSE,369000,residential_sale,3,,None,No,No,No,,Yes,40,135,,,No,None
Kortrijk,Flanders,HOUSE,HOUSE,545000,residential_sale,3,,None,No,No,Yes,,No,,374,,,No,None
Schaerbeek,Brussels,APARTMENT,APARTMENT,155000,residential_sale,1,,None,No,No,Yes,5,No,,42,,,No,None
Roesbrugge,Flanders,HOUSE,HOUSE,249000,residential_sale,2,53,Yes,No,No,Yes,,Yes,,131,3000,,No,TO_BE_DONE_UP
Liège Wandre,Wallonie,HOUSE,HOUSE,279500,residential_sale,3,32,No,No,No,Yes,,Yes,85,130,250,3,No,AS_NEW
Mechelen,Flanders,APARTMENT,APARTMENT,168000,residential_sale,2,,None,No,Yes,Yes,,No,,72,,,No,None
Huy,Wallonie,APARTMENT,APARTMENT,149500,residential_sale,2,,None,No,Yes,No,,No,,75,,,No,None
Genappe,Wallonie,APARTMENT,APARTMENT,150000,residential_sale,2,25,No,No,No,No,,No,,73,,3,No,TO_BE_DONE_UP
WOLUWE-SAINT-LAMBERT,Brussels,APARTMENT,APARTMENT,395000,residential_sale,3,,None,No,Yes,Yes,42,No,,123,,,No,None
Herstal,Wallonie,APARTMENT,APARTMENT,149500,residential_sale,2,,None,Yes,Yes,Yes,12,No,,75,,,No,None
Knokke-Heist,Flanders,APARTMENT,APARTMENT,930000,residential_sale,2,,None,No,No,No,,No,,105,,,No,None
Gent,Flanders,HOUSE,HOUSE,330000,residential_sale,4,,None,No,No,No,,No,,175,,,No,None
Gent,Flanders,APARTMENT,APARTMENT,398000,residential_sale,1,,None,No,No,Yes,9,No,,65,,,No,None
Sint-Martens-Latem,Flanders,HOUSE,HOUSE,685000,residential_sale,2,,None,No,No,No,,No,,179,,,No,None
Wetteren,Flanders,HOUSE,HOUSE,380000,residential_sale,4,,None,No,Yes,Yes,,Yes,155,182,,,No,None
Knokke-Heist,Flanders,APARTMENT,APARTMENT,485000,residential_sale,1,,None,No,No,Yes,,No,,42,,,No,None
La Louviere,Wallonie,HOUSE,HOUSE,130000,residential_sale,2,,None,No,No,No,,No,,,,,No,None
Heist-op-den-Berg,Flanders,HOUSE,HOUSE,529000,residential_sale,3,,None,No,Yes,Yes,21,Yes,175,188,,,No,None
